date,매매,분류,code,종목명,PER,PBR,ROE,현재가,연중최고가,연중최저가
2025/12/02/22:56,매수,가치주,270,기아,4.79,0.83,19.1,117000,126200,-81300
2025/12/02/22:56,매수,가치주,4590,한국가구,4.6,0.38,8.9,4900,6210,-3805
2025/12/02/22:56,매수,가치주,35150,백산,4.94,1.17,26.8,13620,15950,-12500
2025/12/02/22:56,매수,가치주,69730,DSR제강,,0.32,-15.7,3655,4145,-3270
2025/12/02/22:57,매수,중소형저평가우량주,4590,한국가구,4.6,0.38,8.9,4900,6210,-3805
2025/12/02/22:57,매수,중소형저평가우량주,69730,DSR제강,,0.32,-15.7,3655,4145,-3270
2025/12/02/22:57,매수,중소형저평가우량주,72990,에이치시티,6.67,0.5,8.1,6350,14200,-5750
2025/12/02/22:57,매수,대형저평가우량주,270,기아,4.79,0.83,19.1,117000,126200,-81300
2025/12/02/22:57,매수,대형저평가우량주,660,SK하이닉스,20.53,5.34,31.1,558000,646000,-162700
2025/12/02/22:57,매수,대형저평가우량주,3300,한일홀딩스,4.29,0.31,7.6,16520,19750,-13490
2025/12/02/22:57,매수,대형저평가우량주,5810,풍산홀딩스,5.36,0.48,9.4,36950,54800,-24850
2025/12/02/22:57,매수,대형저평가우량주,9970,영원무역홀딩스,7.4,0.91,13.2,181200,186900,-79500
2025/12/02/22:57,매수,대형저평가우량주,95610,테스,18.91,2.08,13.6,-40800,51400,-15200
2025/12/02/22:57,매수,대형저평가우량주,268280,미원에스씨,12.39,1.59,14.0,-135200,170000,-131200
2025/12/02/22:57,매수,대형저평가우량주,319660,피에스케이,11.93,2.0,18.3,32600,41400,-16210
2025/12/02/22:58,매수,실적호전주,1510,SK증권,,0.53,-13.9,662,826,-424
2025/12/02/22:58,매수,실적호전주,80580,오킨스전자,,4.28,-17.2,8310,12180,-4210
2025/12/02/22:58,매수,실적호전주,95610,테스,18.91,2.08,13.6,-40800,51400,-15200
2025/12/02/22:58,매수,실적호전주,241770,메카로,43.24,1.22,2.9,23400,28750,-7820
2025/12/02/22:58,매수,실적호전주,318160,셀바이오휴먼텍,17.93,1.59,9.6,8480,11510,-3100
2025/12/02/22:58,매수,성장주,62040,산일전기,46.18,10.43,29.9,148800,178900,-43350
2025/12/02/22:58,매수,수익성이좋은기업,35900,JYP Ent.,24.93,4.97,22.4,68600,88500,-56600
2025/12/02/22:58,매수,수익성이좋은기업,62040,산일전기,46.18,10.43,29.9,148800,178900,-43350
2025/12/02/22:58,매수,시총대비영업이익30%이상,23590,다우기술,4.63,0.57,13.2,36750,42350,-17490
2025/12/03/22:24,매수,외국인지분율상승,390,삼화페인트,10.29,0.46,4.9,5850,7370,-5260
2025/12/03/22:24,매수,외국인지분율상승,3470,유안타증권,11.13,0.48,4.5,3825,4605,-2465
2025/12/03/22:24,매수,외국인지분율상승,3830,대한화섬,,0.23,-0.4,122000,151000,-102600
2025/12/03/22:24,매수,외국인지분율상승,4710,한솔테크닉스,29.21,0.5,1.9,6110,7500,-3590
2025/12/03/22:24,매수,외국인지분율상승,6650,대한유화,,0.53,-0.5,147700,159900,-75300
2025/12/03/22:24,매수,외국인지분율상승,13700,까뮤이앤씨,,0.69,-23.5,1102,1775,-997
2025/12/03/22:24,매수,외국인지분율상승,15360,INVENI,13.66,0.76,6.2,66100,67800,-45000
